REGIONC,DIVISION,state_name,BA_climate,TYPEHUQ,YEARMADERANGE,WALLTYPE,SWIMPOOL,RECBATH,FUELTUB,RANGEFUEL,OUTGRILLFUEL,DWASHUSE,DRYRFUEL,EQUIPM,FUELHEAT,FUELH2O,MONEYPY,CARBFTP
2,1,17,5,2,6,3,0,1,5,5,2,6,5,3,5,5,13,[86.62394708]
1,5,21,0,2,1,3,1,0,-2,1,2,3,5,2,1,1,16,[94.39658962]
1,5,21,0,2,4,3,0,1,5,1,23,7,5,2,1,1,15,[87.99482433]
1,2,38,0,2,7,3,1,1,5,5,23,1,1,3,1,1,16,[92.04383997]
0,8,23,7,2,6,3,0,1,-2,2,-2,7,5,3,2,2,15,[86.86435777]
2,1,42,5,2,6,3,1,0,-2,5,23,7,5,13,5,5,13,[71.85239626]
2,7,10,5,2,7,1,1,0,-2,5,2,3,5,4,5,5,15,100.0
1,2,38,0,2,1,3,1,0,-2,1,23,1,1,3,1,1,15,100.0
0,8,41,0,3,9,3,0,1,5,5,1,5,5,3,1,1,14,[58.66435546]
2,1,42,5,2,7,1,0,1,-2,5,2,0,5,3,1,1,11,[55.87767611]
2,7,9,2,1,6,3,0,1,5,5,-2,-2,5,4,5,5,1,[4.62951975]
1,2,32,0,2,5,3,1,1,5,5,23,4,1,2,1,1,15,[77.53450313]
2,1,17,5,2,6,1,1,0,-2,5,1,5,5,3,1,5,11,[85.37225504]
3,3,50,0,2,2,3,0,1,5,5,1,2,1,3,1,1,15,[93.88452267]
1,2,32,0,2,7,3,0,1,1,5,2,1,5,2,1,1,14,[76.52631193]
2,9,36,5,2,7,6,1,1,5,1,1,4,5,3,1,5,16,[82.23942096]
1,2,38,0,2,5,3,1,0,-2,5,2,7,5,8,7,5,13,[97.15301713]
3,6,4,1,2,2,4,0,1,-2,-2,23,-2,1,3,1,1,15,100.0
3,6,4,1,5,6,5,-2,1,-2,5,23,0,-2,10,5,5,14,100.0
3,6,4,3,2,4,2,1,1,5,2,2,-2,2,13,5,2,13,100.0
2,7,20,5,2,1,1,0,1,5,1,23,2,5,2,1,1,16,[91.2503746]
2,9,3,5,2,7,1,0,1,-2,5,2,2,5,3,1,1,11,[61.15721007]
3,3,5,0,2,6,4,1,0,-2,5,2,4,5,3,1,1,16,[87.88299014]
3,3,26,0,2,6,3,0,1,5,5,2,7,5,3,1,1,15,[71.90560805]
